upgrade,in.state,in.comstock_building_type,timestamp,models_used,floor_area_represented,out.district_cooling.cooling.energy_consumption.kwh,out.district_heating.heating.energy_consumption.kwh,out.district_heating.water_systems.energy_consumption.kwh,out.electricity.cooling.energy_consumption.kwh,out.electricity.exterior_lighting.energy_consumption.kwh,out.electricity.fans.energy_consumption.kwh,out.electricity.heat_recovery.energy_consumption.kwh,out.electricity.heat_rejection.energy_consumption.kwh,out.electricity.heating.energy_consumption.kwh,out.electricity.interior_equipment.energy_consumption.kwh,out.electricity.interior_lighting.energy_consumption.kwh,out.electricity.pumps.energy_consumption.kwh,out.electricity.pv.energy_consumption.kwh,out.electricity.refrigeration.energy_consumption.kwh,out.electricity.water_systems.energy_consumption.kwh,out.fuel_oil.heating.energy_consumption.kwh,out.fuel_oil.water_systems.energy_consumption.kwh,out.natural_gas.heating.energy_consumption.kwh,out.natural_gas.interior_equipment.energy_consumption.kwh,out.natural_gas.water_systems.energy_consumption.kwh,out.propane.heating.energy_consumption.kwh,out.propane.water_systems.energy_consumption.kwh,out.electricity.net.energy_consumption.kwh,out.electricity.purchased.energy_consumption.kwh,out.district_cooling.total.energy_consumption.kwh,out.district_heating.total.energy_consumption.kwh,out.electricity.total.energy_consumption.kwh,out.fuel_oil.total.energy_consumption.kwh,out.natural_gas.total.energy_consumption.kwh,out.propane.total.energy_consumption.kwh,out.site_energy.total.energy_consumption.kwh,out.district_cooling.cooling.energy_consumption.kwh.savings,out.district_heating.heating.energy_consumption.kwh.savings,out.district_heating.water_systems.energy_consumption.kwh.savings,out.electricity.cooling.energy_consumption.kwh.savings,out.electricity.exterior_lighting.energy_consumption.kwh.savings,out.electricity.fans.energy_consumption.kwh.savings,out.electricity.heat_recovery.energy_consumption.kwh.savings,out.electricity.heat_rejection.energy_consumption.kwh.savings,out.electricity.heating.energy_consumption.kwh.savings,out.electricity.interior_equipment.energy_consumption.kwh.savings,out.electricity.interior_lighting.energy_consumption.kwh.savings,out.electricity.pumps.energy_consumption.kwh.savings,out.electricity.pv.energy_consumption.kwh.savings,out.electricity.refrigeration.energy_consumption.kwh.savings,out.electricity.water_systems.energy_consumption.kwh.savings,out.fuel_oil.heating.energy_consumption.kwh.savings,out.fuel_oil.water_systems.energy_consumption.kwh.savings,out.natural_gas.heating.energy_consumption.kwh.savings,out.natural_gas.interior_equipment.energy_consumption.kwh.savings,out.natural_gas.water_systems.energy_consumption.kwh.savings,out.propane.heating.energy_consumption.kwh.savings,out.propane.water_systems.energy_consumption.kwh.savings,out.electricity.net.energy_consumption.kwh.savings,out.electricity.purchased.energy_consumption.kwh.savings,out.district_cooling.total.energy_consumption.kwh.savings,out.district_heating.total.energy_consumption.kwh.savings,out.electricity.total.energy_consumption.kwh.savings,out.fuel_oil.total.energy_consumption.kwh.savings,out.natural_gas.total.energy_consumption.kwh.savings,out.propane.total.energy_consumption.kwh.savings,out.site_energy.total.energy_consumption.kwh.savings
12,NY,LargeOffice,2018-01-01 00:15:00,396,694875907.1922662,5737.956,253640.0,1848.7183,7569.422,7053.4834,36532.312,202.81259,22.879765,89087.484,62761.066,27668.07,8048.8306,0.0,0.0,2831.6758,13670.791,57.80167,130496.63,0.0,2341.8943,0.0,0.0,241778.02,241778.02,5737.956,255488.72,241778.02,13728.593,132838.52,0.0,649571.94,0.0,8369.672,-0.22924805,1574.2183,0.0,1562.3549,-15.777048,3.9479313,-577.2639,0.0,0.0,824.7645,0.0,0.0,4.9564056,7281.749,-0.26151228,49765.266,0.0,-1.96492,0.0,0.0,3377.2578,3377.2578,0.0,8369.453,3377.2578,7281.4844,49763.324,0.0,68791.56
12,NY,LargeOffice,2018-01-01 00:30:00,396,694875907.1922662,5732.7104,256258.9,2159.5762,6960.7373,7053.4834,36363.496,207.34099,10.342701,95934.836,62774.7,28496.395,8141.7373,0.0,0.0,2930.0215,14356.566,78.99648,136269.25,0.0,2785.525,0.0,0.0,248873.06,248873.06,5732.7104,258418.47,248873.06,14435.5625,139054.78,0.0,666514.44,0.0,9446.859,0.03515625,1538.9445,0.0,1364.283,-15.995768,3.87498,-2112.997,0.0,0.0,864.21246,0.0,0.0,-8.300201,7797.1294,-0.26729393,53553.242,0.0,6.343338,0.0,0.0,1634.0742,1634.0742,0.0,9446.891,1634.0742,7796.8633,53559.535,0.0,72437.484
12,NY,LargeOffice,2018-01-01 00:45:00,396,694875907.1922662,5511.494,271351.88,1817.0701,6743.323,7053.4834,37361.625,205.40228,12.235588,107052.625,62619.785,28288.076,8067.7056,0.0,0.0,2124.2659,14675.66,50.35845,146346.73,0.0,2177.1787,0.0,0.0,259528.52,259528.52,5511.494,273168.88,259528.52,14726.02,148523.95,0.0,701458.75,0.0,10452.6875,0.0,1445.4026,0.0,1045.8983,-16.43036,3.4130125,-4511.0947,0.0,0.0,856.0731,0.0,0.0,3.9668121,8134.8047,-0.31465435,57210.63,0.0,-0.41661072,0.0,0.0,-1172.6973,-1172.6973,0.0,10452.719,-1172.6973,8134.491,57210.234,0.0,74624.56
12,NY,LargeOffice,2018-01-01 01:00:00,396,694875907.1922662,5183.51,279845.1,276.97894,6568.3623,7053.4834,38175.8,205.39903,16.572113,117300.06,62699.703,29486.79,8016.755,0.0,0.0,393.7258,15715.506,18.094849,151575.6,0.0,483.4083,0.0,0.0,269916.62,269916.62,5183.51,280122.06,269916.62,15733.602,152059.02,0.0,723015.1,0.0,10943.1875,0.050750732,1161.3468,0.0,717.5703,-16.333847,2.7682495,-8461.338,0.0,0.0,808.39435,0.0,0.0,-3.2466774,8559.609,0.08556193,58847.125,0.0,-6.105076,0.0,0.0,-5790.8154,-5790.8154,0.0,10943.219,-5790.8154,8559.695,58840.95,0.0,72552.87
12,NY,LargeOffice,2018-01-01 01:15:00,396,694875907.1922662,5039.844,282669.25,7.118695,6853.2935,7053.4834,38314.53,185.79489,20.199772,118072.66,62497.55,29852.412,8044.9985,0.0,0.0,207.01697,15555.64,19.91207,155918.98,0.0,194.76247,0.0,0.0,271101.94,271101.94,5039.844,282676.38,271101.94,15575.553,156113.73,0.0,730507.44,0.0,10688.219,0.0,1058.9954,0.0,749.46277,7.6772184,2.7484722,-7535.293,0.0,0.0,811.98694,0.0,0.0,-24.845346,8518.443,-0.14013112,59918.195,0.0,-5.7334957,0.0,0.0,-4929.3076,-4929.3076,0.0,10688.219,-4929.3076,8518.305,59912.43,0.0,74189.82
12,NY,LargeOffice,2018-01-01 01:30:00,396,694875907.1922662,4965.7666,284703.88,17.212063,6530.9165,7053.4834,38102.742,178.30855,16.476912,123108.81,62174.29,30204.064,8094.992,0.0,0.0,22.221275,15091.236,9.774269,156640.86,0.0,148.91121,0.0,0.0,275486.25,275486.25,4965.7666,284721.06,275486.25,15101.01,156789.78,0.0,737064.0,0.0,11175.031,0.0,1001.94507,0.0,680.3082,9.688079,2.7484722,-9667.251,0.0,0.0,817.26514,0.0,0.0,-0.101797104,8742.578,0.6544901,59773.082,0.0,1.7841854,0.0,0.0,-7155.4355,-7155.4355,0.0,11175.031,-7155.4355,8743.233,59774.91,0.0,72537.5
12,NY,LargeOffice,2018-01-01 01:45:00,396,694875907.1922662,4916.4175,285461.3,94.859245,6540.315,7053.4834,38051.387,180.2815,20.682745,122960.44,61842.926,30560.742,8080.111,0.0,0.0,124.72452,15581.69,1.8435085,159523.53,0.0,146.5189,0.0,0.0,275415.12,275415.12,4916.4175,285556.16,275415.12,15583.534,159670.06,0.0,741140.94,0.0,11257.844,0.0,965.3135,0.0,600.9175,10.117053,2.7484722,-8848.297,-0.049316406,0.0,817.6918,0.0,0.0,-0.07282448,8768.439,-0.9108639,60328.605,0.0,-12.29101,0.0,0.0,-6451.6846,-6451.6846,0.0,11257.844,-6451.6846,8767.529,60316.336,0.0,73889.89
12,NY,LargeOffice,2018-01-01 02:00:00,396,694875907.1922662,4860.381,292639.38,27.701675,6620.676,7053.4834,38855.195,183.7197,16.39982,126379.24,61574.023,30906.73,8095.6562,0.0,0.0,61.53531,15955.119,0.0,160622.27,0.0,89.72687,0.0,0.0,279746.78,279746.78,4860.381,292667.1,279746.78,15955.119,160711.98,0.0,753940.9,0.0,11387.125,0.0,952.8744,0.0,590.04456,6.9451847,2.7484703,-10576.563,-0.09838867,0.0,828.26465,0.0,0.0,-4.586398,8969.955,0.0,61142.508,0.0,1.8008528,0.0,0.0,-8200.407,-8200.407,0.0,11387.125,-8200.407,8969.955,61144.344,0.0,73301.15
12,NY,LargeOffice,2018-01-01 02:15:00,396,694875907.1922662,4789.275,288938.5,0.6462528,6779.4404,7053.4834,39028.0,257.55075,20.8391,131780.89,61250.87,31258.174,8111.485,0.0,0.0,41.526424,15555.305,4.743063,160038.05,0.0,27.208353,0.0,0.0,285582.1,285582.1,4789.275,288939.16,285582.1,15560.048,160065.25,0.0,754936.3,0.0,11289.0,0.0,967.3419,0.0,392.85596,-50.524956,2.7484703,-11937.545,-0.049072266,0.0,828.1361,0.0,0.0,4.541925,8787.386,0.13718843,61298.04,0.0,13.709311,0.0,0.0,-9792.401,-9792.401,0.0,11289.0,-9792.401,8787.522,61311.746,0.0,71595.516
12,NY,LargeOffice,2018-01-01 02:30:00,396,694875907.1922662,4743.242,291418.78,2.5221407,6176.495,7053.4834,38514.188,254.7849,15.936676,131976.34,61197.855,31621.043,8129.6104,0.0,0.0,3.2705088,16107.855,2.810769,163770.53,0.0,167.73308,0.0,0.0,284943.0,284943.0,4743.242,291421.3,284943.0,16110.666,163938.28,0.0,761156.4,0.0,11575.594,0.0,927.7822,0.0,349.1195,-50.927338,2.7484722,-12238.556,0.0,0.0,830.04114,0.0,0.0,0.0030174255,8919.549,8.046627e-07,61600.266,0.0,-2.0103016,0.0,0.0,-10179.691,-10179.691,0.0,11575.594,-10179.691,8919.547,61598.223,0.0,71913.47
