upgrade,in.state,in.comstock_building_type,timestamp,models_used,floor_area_represented,out.district_cooling.cooling.energy_consumption.kwh,out.district_heating.heating.energy_consumption.kwh,out.district_heating.water_systems.energy_consumption.kwh,out.electricity.cooling.energy_consumption.kwh,out.electricity.exterior_lighting.energy_consumption.kwh,out.electricity.fans.energy_consumption.kwh,out.electricity.heat_recovery.energy_consumption.kwh,out.electricity.heat_rejection.energy_consumption.kwh,out.electricity.heating.energy_consumption.kwh,out.electricity.interior_equipment.energy_consumption.kwh,out.electricity.interior_lighting.energy_consumption.kwh,out.electricity.pumps.energy_consumption.kwh,out.electricity.refrigeration.energy_consumption.kwh,out.electricity.water_systems.energy_consumption.kwh,out.natural_gas.heating.energy_consumption.kwh,out.natural_gas.interior_equipment.energy_consumption.kwh,out.natural_gas.water_systems.energy_consumption.kwh,out.district_cooling.total.energy_consumption.kwh,out.district_heating.total.energy_consumption.kwh,out.electricity.total.energy_consumption.kwh,out.natural_gas.total.energy_consumption.kwh,out.district_heating.cooling.energy_consumption.kwh,out.other_fuel.cooling.energy_consumption.kwh,out.other_fuel.heating.energy_consumption.kwh,out.other_fuel.total.energy_consumption.kwh,out.other_fuel.water_systems.energy_consumption.kwh,out.site_energy.total.energy_consumption.kwh
0,NY,LargeOffice,2018-01-01 00:15:00,511,793656311.9930297,9824.48428078559,191694.6379840441,61.54614396448118,20345.862751718767,9404.539748668218,46494.72690989123,276.6754652585786,47.759813030161524,54697.55909212408,143973.24336752793,23904.70426634646,6186.913288154644,0.0,90.22474821431942,199862.701556193,0.0,97.29402317006168,9824.48428078559,191756.18412800858,305422.2094509343,199959.99557936305,0.0,0.0,30202.598405178593,30202.598405178593,0.0,737165.4718442702
0,NY,LargeOffice,2018-01-01 00:30:00,511,793656311.9930297,9561.683953998294,200894.40796629633,96.4369895561786,20138.60496184416,9404.539748668218,46895.77641478053,279.4274524660432,47.15013489515797,58429.667537758905,144083.4543048167,24990.595360754414,6162.929423521214,0.0,141.52388938833104,207677.76139497128,0.0,169.16828903653362,9561.683953998294,200990.84495585255,310573.66922889365,207846.92968400777,0.0,0.0,31951.60593258786,31951.60593258786,0.0,760924.73375534
0,NY,LargeOffice,2018-01-01 00:45:00,511,793656311.9930297,8951.735476033698,116056.32021016456,90.25703374615347,17439.528357736315,9404.539748668218,34885.19988429365,178.69552921855515,38.81596195560997,54887.845535988374,143226.61628369207,24156.01393952059,5043.038739561258,0.0,129.551261751739,140574.48016159137,0.0,155.95995701247426,8951.735476033698,116146.57724391071,289389.84524238633,140730.44011860384,0.0,0.0,21649.74894046419,21649.74894046419,0.0,576868.3470213988
0,NY,LargeOffice,2018-01-01 01:00:00,511,793656311.9930297,9211.562602772003,231857.0614267055,80.66898171073555,19283.741898282788,9404.539748668218,48474.89588497464,279.4274524660432,42.19491382149672,70417.8561435455,144252.80027867548,26365.50998534159,6270.408093515674,0.0,125.31959812202794,233355.413302062,0.0,128.0237138891097,9211.562602772003,231937.73040841625,324916.6939974137,233483.43701595115,0.0,0.0,37676.4675884167,37676.4675884167,0.0,837225.89161297
0,NY,LargeOffice,2018-01-01 01:15:00,511,793656311.9930297,9197.578547582858,224504.84255787733,86.09016898530787,19204.332661406137,9404.539748668218,47816.671228816085,260.52151152391286,42.79959208493119,50922.71343354781,144044.2996276414,26833.431132774356,6224.167258333403,0.0,154.93706568940863,226018.6346683666,0.0,148.7784431094258,9197.578547582858,224590.9327268626,304908.4132604858,226167.41311147605,0.0,0.0,37216.69753929235,37216.69753929235,0.0,802081.0351856991
0,NY,LargeOffice,2018-01-01 01:30:00,511,793656311.9930297,8786.946272753272,124788.11780832833,63.28673892121817,17157.286927074063,9404.539748668218,36118.18555423473,178.69552921855515,37.74232812064717,69447.9572675964,144010.55217670562,27287.893315838635,5080.12739569347,0.0,161.9904915458074,148822.07204498217,0.0,185.8708494351365,8786.946272753272,124851.40454724958,308884.97073469614,149007.9428944173,0.0,0.0,24018.106644896405,24018.106644896405,0.0,615549.3710940126
0,NY,LargeOffice,2018-01-01 01:45:00,511,793656311.9930297,9161.276688296652,239311.82595306676,89.01127924790842,19050.067828719613,9404.539748668218,48611.76791968808,279.4274524660432,40.57910741823372,75659.05472219532,144045.17042162764,27774.97483494312,6285.222550100388,0.0,215.31940367122087,236645.37992104908,0.0,236.4461173045762,9161.276688296652,239400.8372323147,331366.12398949784,236881.82603835367,0.0,0.0,38105.38833353543,38108.02427259892,2.6359390634889817,854918.0882210617
0,NY,LargeOffice,2018-01-01 02:00:00,511,793656311.9930297,9193.325539094358,239177.8174517549,111.28276364023039,19459.417500646065,9404.539748668218,49148.74583615339,277.24914681450343,41.92862104237187,76542.08324720727,144089.87648880482,28248.46100564023,6520.004813408885,0.0,203.83091411760742,238016.89000546135,0.0,247.4329261822921,9193.325539094358,239289.10021539518,333936.137322503,238264.3229316437,0.0,0.0,39777.18966062414,39780.654395450714,3.4647348265710036,860463.5404040875
0,NY,LargeOffice,2018-01-01 02:15:00,511,793656311.9930297,8780.404252920285,136862.82017910192,147.98983786739385,17292.904153420794,9404.539748668218,37061.507013907605,178.69552921855515,37.469027938149914,68212.72628776106,143851.51015279235,28732.63955743333,5341.991364755189,0.0,238.40333471924237,159589.331148013,0.0,279.9575015607,8780.404252920285,137010.8100169693,310352.3861706145,159869.2886495737,0.0,0.0,27275.844627468236,27277.207743897816,1.3631164295796179,643290.0968339753
0,NY,LargeOffice,2018-01-01 02:30:00,511,793656311.9930297,9172.943169523107,258959.41868105653,138.98784003334558,19125.61678634557,9404.539748668218,49418.91994738696,255.88105470712202,42.328062561019166,56894.71494786816,144332.0514496665,29258.288054072334,6669.665088173193,0.0,245.084885865307,260425.38859335345,0.0,318.5942883370033,9172.943169523107,259098.40652108993,315647.09002531413,260743.98288169038,0.0,0.0,41233.61224180022,41235.74096461692,2.128722816702896,885898.1635622351
0,NY,LargeOffice,2018-01-01 02:45:00,511,793656311.9930297,9194.82434507855,254420.22666512293,134.26779073426232,19371.00315688374,9404.539748668218,49852.87591162802,279.4274524660432,43.18662954970773,84011.66021709464,144729.85027392008,29776.45053086313,6687.899379280537,0.0,242.8358666399151,256961.8454414022,0.0,299.1444884745005,9194.82434507855,254554.49445585714,344399.72916699393,257260.98992987676,0.0,0.0,40606.36635420668,40609.60081970861,3.2344655019309045,906019.6387175149
0,NY,LargeOffice,2018-01-01 03:00:00,511,793656311.9930297,8791.21427264012,154005.88263782283,137.1412503406235,17345.83318530188,9404.539748668218,38110.33351629856,245.07855862207333,39.82969086781995,74634.58794421711,145607.2616240852,30287.09703184413,5536.474332600064,0.0,276.15080960793193,173120.7480659561,0.0,314.74531694245695,8791.21427264012,154143.02388816347,321487.1864421131,173435.4933828985,0.0,0.0,27732.874134468868,27734.316545077712,1.4424106088451687,685591.2345308928
0,NY,LargeOffice,2018-01-01 03:15:00,511,793656311.9930297,9008.062191015842,264601.95461017574,146.77891920091173,19278.857919390644,9404.539748668218,50355.227570039904,284.178821152361,41.310670535792866,82160.98801843807,146816.3089035566,30910.21441094046,6833.515624129415,0.0,282.99620545542797,268714.9369404683,0.0,363.81709369923516,9008.062191015842,264748.7335293766,346368.137892307,269078.75403416756,0.0,0.0,41328.02991216159,41332.108165184516,4.078253022927839,930535.7958120512
0,NY,LargeOffice,2018-01-01 03:30:00,511,793656311.9930297,9038.815545633126,259495.36596867573,173.29978474043122,19030.30038307609,9404.539748668218,50228.905795354476,285.45046236831456,43.21364113033515,83240.9755330385,147612.3481249397,31692.107267640084,6683.823762724903,0.0,311.10970353766254,263113.9804012348,0.0,366.1063188375847,9038.815545633126,259668.66575341616,348532.7744224782,263480.08672007243,0.0,0.0,39758.11162626358,39773.09169317515,14.980066911568718,920493.4341347745
0,NY,LargeOffice,2018-01-01 03:45:00,511,793656311.9930297,8842.592802045518,171292.51680543704,207.12493536924546,17568.968578105694,9404.539748668218,39512.14887132548,231.8742601035244,40.15804504372509,51388.07794425541,148355.51410055888,32589.67177133604,5653.063870303042,0.0,384.3837530330166,194744.88208104204,0.0,386.07642605303107,8842.592802045518,171499.64174080626,305128.40094273305,195130.95850709509,0.0,0.0,26290.78857663705,26302.69735786661,11.908781229565172,706904.2913505462
0,NY,LargeOffice,2018-01-01 04:00:00,511,793656311.9930297,9303.006603483664,270660.7247294913,204.5236658947329,19349.22276033204,9404.539748668218,50365.81632533346,285.1290948896245,44.31395065948548,85320.76132662846,148461.43850368168,33604.833868409114,6734.228804381593,0.0,364.40187281157563,267852.2429534602,0.0,420.88993335651236,9303.006603483664,270865.24839538604,353934.68625579507,268273.13288681663,0.0,0.0,47845.993478264274,47857.671687370785,11.678209106509419,950233.7458288523
0,NY,LargeOffice,2018-01-01 04:15:00,511,793656311.9930297,9510.423464055571,269173.4230384399,209.63221829050383,19393.80686791208,9404.539748668218,50217.994085392944,289.14618837324963,46.41892556817045,82175.69418476919,148373.95154424626,35159.52980781328,6732.040391419912,0.0,445.9159631128544,267681.33689277404,0.0,471.45433691478075,9510.423464055571,269383.0552567304,352239.03770727606,268152.7912296888,0.0,0.0,44569.26435996278,44579.178037213685,9.913677250898976,943864.4856949651
0,NY,LargeOffice,2018-01-01 04:30:00,511,793656311.9930297,9248.045399140245,186512.07834478756,240.64297736066786,18070.830998003694,9404.539748668218,41011.731446754566,254.79729452927975,43.75742409828834,78732.13893876578,149102.08216170757,37398.51537468572,5910.005707096734,0.0,517.3898606163286,201821.66284935665,0.0,559.93370677624,9248.045399140245,186752.72132214825,340445.78895492625,202381.5965561329,0.0,0.0,32089.548675374634,32102.793738611457,13.245063236830026,770930.9459709589
0,NY,LargeOffice,2018-01-01 04:45:00,511,793656311.9930297,9747.594441952284,281300.5620656494,272.92098558015533,19512.937115646993,9404.539748668218,50772.94850507959,289.14618837324963,46.790852962696846,90936.82596545925,150247.6384422924,40060.507675320325,6968.4060633919635,0.0,541.9877485162941,277015.2374966493,0.0,684.0903952154292,9747.594441952284,281573.4830512297,368781.72830571095,277699.32789186476,0.0,0.0,45503.47846759651,45529.02983261673,25.55136502021461,983331.1635233746
