upgrade,timestamp,district_cooling_cooling,district_heating_heating,district_heating_water_systems,electricity_cooling,electricity_exterior_lighting,electricity_fans,electricity_heat_recovery,electricity_heat_rejection,electricity_heating,electricity_interior_equipment,electricity_interior_lighting,electricity_pumps,electricity_water_systems,natural_gas_heating,natural_gas_water_systems,district_cooling_total,district_heating_total,electricity_total,natural_gas_total,other_fuel_heating,other_fuel_total,other_fuel_water_systems,site_energy_total,electricity_cooling_savings,electricity_fans_savings,electricity_heating_savings,electricity_interior_equipment_savings,electricity_interior_lighting_savings,electricity_water_systems_savings,electricity_total_savings,other_fuel_heating_savings,other_fuel_total_savings,other_fuel_water_systems_savings,site_energy_total_savings
1,2018-01-01 00:15:00,9824.48428078559,191694.6379840441,61.54614396448118,20345.845528144306,9404.539748668218,45079.84885808394,276.6754652585786,47.75981303016152,58074.890099559074,143973.24336752793,23904.70426634646,6186.913288154644,90.22426101430506,199862.701556193,97.29402317006168,9824.48428078559,191756.18412800855,307384.6446957875,199959.99557936305,23653.006467655072,23653.006467655072,0.0,732578.3151515999,0.0172235744592512,1414.8780518072847,-3377.3310074349865,0.0,0.0,0.000487200014362,-1962.435244853236,6549.591937523521,6549.591937523521,0.0,4587.156692670351
1,2018-01-01 00:30:00,9561.683953998294,200894.40796629633,96.4369895561786,20138.58755986008,9404.539748668218,45485.948479214625,279.4274524660432,47.15013489515797,62241.569254340095,144083.4543048167,24990.595360754414,6162.929423521214,141.51131941547894,207677.76139497128,169.16828903653362,9561.683953998294,200990.84495585255,312975.713037952,207846.92968400777,24653.5926533015,24653.5926533015,0.0,756028.764285112,0.0174019840825394,1409.8279355659074,-3811.9017165811897,0.0,0.0,0.0125699728521055,-2402.04380905835,7298.013279286356,7298.013279286356,0.0,4895.969470227927
1,2018-01-01 00:45:00,8951.735476033698,116056.32021016456,90.25703374615348,17439.51080278085,9404.539748668218,33517.39789576466,178.69552921855515,38.81596195560997,59176.009614566035,143226.61628369207,24156.01393952059,5043.038739561258,129.5632956918768,140574.48016159135,155.95995701247426,8951.735476033698,116146.57724391072,292310.2018114197,140730.44011860384,13499.434696203603,13499.434696203603,0.0,571638.3893461715,0.0175549554621454,1367.8019885289898,-4288.164078577658,0.0,0.0,-0.0120339401377975,-2920.356569033347,8150.314244260586,8150.314244260586,0.0,5229.957675227298
1,2018-01-01 01:00:00,9211.562602772005,231857.0614267055,80.66898171073555,19283.72420161528,9404.539748668218,47136.230659045315,279.4274524660432,42.19491382149672,75391.96717954348,144252.80027867548,26365.50998534159,6270.408093515674,125.30559710832024,233355.413302062,128.0237138891097,9211.562602772005,231937.73040841625,328552.1081098011,233483.43701595117,28517.518420542234,28517.518420542234,0.0,831702.356557483,0.0176966675083463,1338.6652259293294,-4974.111035997983,0.0,0.0,0.0140010137077268,-3635.4141123874106,9158.949167874462,9158.949167874462,0.0,5523.535055487002
1,2018-01-01 01:15:00,9197.578547582858,224504.84255787733,86.09016898530787,19204.314902740432,9404.539748668218,46473.53046111366,260.52151152391286,42.79959208493119,55981.8759657451,144044.2996276414,26833.431132774356,6224.167258333403,154.9509120578225,226018.6346683666,148.7784431094258,9197.578547582858,224590.9327268626,308624.4311126834,226167.41311147605,27838.10808678779,27838.10808678779,0.0,796418.4635853923,0.0177586657037522,1343.1407677024267,-5059.16253219729,0.0,0.0,-0.0138463684138798,-3716.017852197556,9378.58945250456,9378.58945250456,0.0,5662.571600306797
1,2018-01-01 01:30:00,8786.946272753272,124788.11780832832,63.28673892121817,17157.269456053673,9404.539748668218,34782.240054547976,178.69552921855515,37.74232812064717,74582.1617820148,144010.55217670562,27287.893315838635,5080.12739569347,161.99047036703794,148822.07204498217,185.8708494351365,8786.946272753272,124851.40454724958,312683.2122572287,149007.9428944173,14426.67697539754,14426.67697539754,0.0,609756.1829470462,0.0174710203883137,1335.945499686748,-5134.204514418396,0.0,0.0,2.1178769472385284e-05,-3798.241522532498,9591.429669498866,9591.429669498866,0.0,5793.188146966389
1,2018-01-01 01:45:00,9161.276688296652,239311.82595306676,89.01127924790842,19050.05095480794,9404.539748668218,47246.50040856116,279.4274524660432,40.57910741823372,80888.61558744682,144045.17042162764,27774.97483494312,6285.222550100388,215.31943083862376,236645.37992104908,236.4461173045762,9161.276688296652,239400.8372323147,335230.4004968782,236881.82603835367,28307.441837277773,28310.07777634126,2.6359390634887068,848984.4182321843,0.0168739116786298,1365.2675111269227,-5229.560865251509,0.0,0.0,-2.7167402905092786e-05,-3864.276507380352,9797.946496257662,9797.946496257664,2.7489122089718876e-13,5933.669988877478
1,2018-01-01 02:00:00,9193.325539094358,239177.8174517549,111.2827636402304,19459.40123904954,9404.539748668218,47791.38663200285,277.24914681450343,41.92862104237187,81838.60374524517,144089.87648880482,28248.46100564023,6520.004813408885,203.83091445504112,238016.89000546135,247.4329261822921,9193.325539094358,239289.1002153952,337875.28235513135,238264.3229316437,29771.924844307796,29775.38957914471,3.4647348369196456,854397.4206204097,0.0162615965217014,1357.3592041505462,-5296.520498037905,0.0,0.0,-3.374336898787078e-07,-3939.145032628268,10005.264816316345,10005.264816305997,-1.03486419433807e-08,6066.119783677717
1,2018-01-01 02:15:00,8780.404252920285,136862.82017910192,147.98983786739385,17292.888357495412,9404.539748668218,35715.727820421715,178.69552921855515,37.469027938149914,73589.05802027209,143851.51015279235,28732.63955743333,5341.991364755189,238.403311067789,159589.331148013,279.9575015607,8780.404252920285,137010.8100169693,314382.92289006273,159869.2886495737,17111.194707252624,17112.557823682204,1.363116429579618,637155.9836332081,0.0157959253776311,1345.7791934858956,-5376.331732511029,0.0,0.0,2.3651453375350684e-05,-4030.536719448235,10164.649920215608,10164.649920215608,0.0,6134.113200767271
1,2018-01-01 02:30:00,9172.943169523109,258959.41868105653,138.98784003334558,19125.60137224954,9404.539748668218,48083.00968101662,255.881054707122,42.328062561019166,62348.56512476108,144332.0514496665,29258.288054072334,6669.665088173193,245.0849255225232,260425.38859335345,318.5942883370033,9172.943169523109,259098.40652108993,319765.01456139784,260743.9828816904,30915.224016813736,30917.35273963043,2.128722816702896,879697.6998733323,0.0154140960326571,1335.9102663703395,-5453.850176892914,0.0,0.0,-3.965721619181295e-05,-4117.92453608374,10318.388224986484,10318.388224986482,0.0,6200.463688902762
1,2018-01-01 02:45:00,9194.82434507855,254420.22666512293,134.26779073426232,19370.988014583498,9404.539748668218,48528.12006059863,279.4274524660432,43.18662954970773,89549.8862441026,144729.85027392008,29776.45053086313,6687.899379280537,242.83587748308457,256961.8454414022,299.1444884745005,9194.82434507855,254554.49445585712,348613.18421151536,257260.98992987676,30135.372885446028,30138.60735094796,3.2344655019309045,899762.1002932757,0.0151423002486694,1324.7558510293863,-5538.226027007946,-1.4551915228366852e-11,0.0,-1.0843169405916342e-05,-4213.455044521435,10470.993468760653,10470.993468760653,0.0,6257.538424239177
1,2018-01-01 03:00:00,8791.21427264012,154005.88263782283,137.1412503406235,17345.818270376643,9404.539748668218,36809.8427772106,245.07855862207333,39.82969086781995,80275.10041473275,145607.2616240852,30287.09703184413,5536.474332600064,276.15080960793193,173120.7480659561,314.74531694245695,8791.21427264012,154143.02388816347,325827.19325861556,173435.4933828985,17110.20123202329,17111.643642632134,1.4424106088451687,679308.5684449498,0.0149149252360416,1300.4907390879548,-5640.51247051562,0.0,0.0,0.0,-4340.006816502495,10622.672902445578,10622.672902445578,0.0,6282.666085943061
